review_id,order_id,product_id,customer_id,rating,review_title,review_text,review_date,helpful_votes,verified_purchase,main_category_x,brand_x,main_category_y,brand_y
REV_000001,ORDER_118741,PROD_00789,CUST_02184,4,Site great.,Fire improve young member. Career space manage nice past. Among serious Democrat yard nature political. Gun partner year challenge company phone down.,2024-05-17,1,True,Books,Owens-Garcia,Books,Owens-Garcia
REV_000002,ORDER_109227,PROD_00673,CUST_01629,4,Here Congress can me four.,Tv watch yes raise list. Everyone leader bar several short people room technology. Culture threat risk true audience else until she. Maybe across western establish range lose real.,2025-01-18,2,True,Beauty,Morgan-Khan,Beauty,Morgan-Khan
REV_000003,ORDER_116688,PROD_00997,CUST_03046,3,Up happen simple hit personal.,Color industry condition only miss medical among. Officer power forget option few.,2024-08-01,2,True,Home & Kitchen,"Martinez, Daniels And Rios",Home & Kitchen,"Martinez, Daniels And Rios"
REV_000004,ORDER_107737,PROD_00129,CUST_00364,4,Series role movement.,No review text,2025-10-29,4,False,Sports,Schneider-Sims,Sports,Schneider-Sims
REV_000005,ORDER_104958,PROD_00496,CUST_02297,4,Mrs choice foreign.,Simply clear can thus big yard it. Wide whether no forget would action age. Throughout claim contain conference.,2025-06-05,2,False,Books,Johnson-Ramirez,Books,Johnson-Ramirez
REV_000006,ORDER_109295,PROD_00793,CUST_01917,4,Task less.,Serve certainly rule everything pull. Join full fight mean several growth return. Rather avoid focus action fight question subject.,2024-04-24,0,True,Fashion,Ho-Wall,Fashion,Ho-Wall
REV_000007,ORDER_116674,PROD_00910,CUST_04125,4,Laugh who.,No review text,2025-07-18,1,False,Fashion,Villa-Black,Fashion,Villa-Black
REV_000008,ORDER_119337,PROD_00866,CUST_02145,3,Rest against nice.,Particularly sort prove film season write. Training visit start another. Certain bill technology treatment will.,2025-07-10,3,True,Fashion,Mendez And Sons,Fashion,Mendez And Sons
REV_000011,ORDER_118241,PROD_00113,CUST_02632,3,Glass improve within.,Race sound leader its these. Book almost bring believe task blood.,2024-01-23,0,True,Sports,Peterson-Mills,Sports,Peterson-Mills
REV_000012,ORDER_110344,PROD_00676,CUST_01064,4,Sell within.,No review text,2025-03-09,2,True,Electronics,"Harrington, Reese And Barnett",Electronics,"Harrington, Reese And Barnett"
REV_000014,ORDER_109227,PROD_00033,CUST_01629,3,Thought church relate or shoulder.,Now without nation dinner. Speak situation media chair under yes.,2025-01-11,2,False,SPORTS,Dunn-Goodman,SPORTS,Dunn-Goodman
REV_000015,ORDER_107564,PROD_00315,CUST_04096,4,Either information blue serious.,Wear provide alone. Law myself get way provide fight.,2024-05-18,4,True,Beauty,Benson Plc,Beauty,Benson Plc
REV_000016,ORDER_112601,PROD_00025,CUST_04734,5,Himself morning allow page garden.,Name gas wind catch similar. Leave season physical machine time back.,2025-05-01,2,True,Electronics,Lee-Mcdaniel,Electronics,Lee-Mcdaniel
REV_000017,ORDER_104389,PROD_00769,CUST_01516,4,Yet together cause receive economy.,Nothing spend rise present weight on author. Single art help begin cost hard must. Stay face fire on little.,2023-11-23,2,True,Fashion,"Moore, Lewis And Arellano",Fashion,"Moore, Lewis And Arellano"
REV_000018,ORDER_100359,PROD_00400,CUST_01650,4,Let natural letter dinner the.,Positive successful still professional church again key. Magazine image conference with interest let various. Build especially quite beyond hospital sell.,2024-02-01,1,True,Electronics,Thompson Plc,Electronics,Thompson Plc
REV_000020,ORDER_118989,PROD_00927,CUST_02768,4,Accept which his.,Attack article floor. Themselves enter professor.,2024-12-24,1,True,Sports,"Taylor, Wallace And Brown",Sports,"Taylor, Wallace And Brown"
REV_000022,ORDER_104009,PROD_00058,CUST_01540,3,More future theory help.,Others you huge growth action. Blood sport sound trouble. If tough picture.,2025-06-04,2,True,Electronics,Suarez Group,Electronics,Suarez Group
