order_item_id,order_id,product_id,quantity,unit_price,discount_rate,final_price,total_price,product_category,product_brand
1,ORDER_108477,PROD_00770,1,774.88,0.0,774.88,774.88,Books,Banks-Jones
2,ORDER_114334,PROD_00867,0,1030.84,0.0,1030.84,1030.84,Fashion,Allen and Sons
3,ORDER_108699,PROD_00370,2,195.35,0.0,195.35,390.7,Fashion,Bell and Sons
4,ORDER_116094,PROD_00555,2,986.99,0.0,986.99,1973.98,Beauty,Vaughn PLC
5,ORDER_116468,PROD_00952,3,187.75,0.2,150.2,450.6,BEAUTY,Nelson-Jackson
6,ORDER_106725,PROD_00290,1,168.76,0.0,168.76,168.76,Home & Kitchen,"Morris, Campos and Hall"
7,ORDER_115378,PROD_00651,1,666.82,0.3,466.77,466.77,Fashion,Stewart Ltd
8,ORDER_114206,PROD_00221,1,203.79,0.0,203.79,203.79,Sports,Dennis-Cortez
9,ORDER_113431,PROD_00881,1,637.22,0.0,637.22,637.22,Beauty,Hardy PLC
10,ORDER_101471,PROD_00146,2,719.66,0.0,719.66,1439.32,Sports,Brooks Inc
11,ORDER_111992,PROD_00383,1,622.7,0.0,622.7,622.7,Electronics,Krause-Jackson
12,ORDER_111092,PROD_00093,2,760.82,0.0,760.82,1521.64,Home & Kitchen,"Waters, Vargas and Benton"
13,ORDER_107853,PROD_00405,3,276.28,0.0,276.28,828.84,Sports,"Brooks, Grant and Baker"
14,ORDER_108961,PROD_00896,1,0.0,0.29,0.0,0.0,Home & Kitchen,Gutierrez Inc
15,ORDER_119452,PROD_00971,1,857.71,0.0,857.71,857.71,Electronics,Brooks-Rios
16,ORDER_109430,PROD_00633,1,0.0,0.0,0.0,0.0,Beauty,Harrison LLC
17,ORDER_119630,PROD_00933,1,615.38,0.0,615.38,615.38,Fashion,"Snyder, Walker and Mcguire"
18,ORDER_114294,PROD_00973,1,363.17,0.0,363.17,363.17,Sports,Smith-Wilson
19,ORDER_113545,PROD_00942,3,606.44,0.0,606.44,1819.32,Fashion,Campbell-Johnson
20,ORDER_118071,PROD_00158,2,180.0,0.0,180.0,360.0,Sports,Hernandez-Mora
21,ORDER_118507,PROD_00215,2,1170.91,0.0,1170.91,2341.82,Beauty,Flores-Hamilton
22,ORDER_103150,PROD_00863,0,850.76,0.0,850.76,3403.04,Beauty,Herrera PLC
23,ORDER_119006,PROD_00312,3,499.59,0.0,499.59,1498.77,Home & Kitchen,"Rhodes, Vargas and Daniels"
24,ORDER_105380,PROD_00422,1,567.22,0.0,567.22,567.22,Beauty,Marks-Lynch
25,ORDER_118238,PROD_00544,1,460.5,0.0,460.5,460.5,Fashion,"Flowers, Sanchez and Hayes"
26,ORDER_114410,PROD_00763,1,1006.27,0.0,1006.27,1006.27,Books,Murphy-Tucker
27,ORDER_103740,PROD_00806,3,992.54,0.0,992.54,2977.62,Books,Mejia PLC
28,ORDER_110453,PROD_00132,2,258.52,0.19,209.4,418.8,Sports,
29,ORDER_114764,PROD_00662,1,663.22,0.0,663.22,663.22,Home & Kitchen,
30,ORDER_108111,PROD_00487,1,664.92,0.0,664.92,664.92,Books,Grant LLC
31,ORDER_114160,PROD_00559,2,466.05,0.0,466.05,932.1,Fashion,Smith Inc
32,ORDER_116258,PROD_00125,1,163.84,0.0,163.84,163.84,Books,
33,ORDER_107567,PROD_00136,1,293.19,0.0,293.19,293.19,Fashion,Perez-Rodriguez
34,ORDER_114802,PROD_00799,2,287.93,0.0,287.93,575.86,Electronics,Dunn-Nixon
35,ORDER_102577,PROD_00489,3,702.81,0.0,702.81,2108.43,Electronics,Edwards PLC
36,ORDER_100337,PROD_00760,3,395.31,0.0,395.31,1185.93,Sports,Cowan-Cummings
