product_id,product_name,main_category,subcategory,brand,cost_price,selling_price,profit_margin,weight_kg,dimensions,stock_quantity,supplier,rating,description,is_active
PROD_00000,Universal zero tolerance moderator,Beauty,Skincare,Williams-Rios,134.24,382.38,248.14,0.22,40x20x22,22,Torres Ltd,4.8,Eight paper whose remember hour almost. Game cold claim field wonder professor. When become at two.,True
PROD_00001,Public-key optimizing portal,Electronics,Cameras,"Lee, Anderson and Evans",332.45,563.82,231.37,3.42,10x9x22,94,Pierce PLC,4.9,Mr industry ask should away. Life financial rise. Past nation government.,True
PROD_00002,Exclusive empowering data-warehouse,Books,Children Books,Bennett Ltd,418.37,880.54,462.17,4.74,40x42x47,39,"Spencer, Wells and Hunter",4.7,"Actually plan may green talk coach. Per peace three land government music treatment apply.
Matter head it fear. Usually result fund mission itself black allow. About site phone like safe.",True
PROD_00003,Virtual optimal forecast,Sports,Team Sports,Shelton-Green,298.81,707.48,408.67,5.63,9x19x29,30,Moore-Carlson,4.4,Everyone reason weight cause station not short property. Scene all trade week type rule.,True
PROD_00004,Multi-layered 3rdgeneration success,Home & Kitchen,Home Decor,"Cox, Bowen and Brown",159.63,229.87,70.24,9.24,17x11x7,50,Kirby-Williams,4.2,"Weight past American. Threat claim save program human whom film. Although society possible one clearly she suddenly appear.
None assume here this team day us beyond. Debate president create good.",True
PROD_00005,Proactive bottom-line budgetary management,Fashion,Shoes,Wright Inc,171.26,511.68,340.42,7.69,12x45x12,0,Perez-Berry,4.8,Financial who sound serious. Yourself lead population couple at. Back my point issue find.,True
PROD_00006,Horizontal system-worthy implementation,Fashion,Shoes,"Brown, Mitchell and Wong",98.09,179.57,81.48,8.9,11x16x5,55,Perez-Thornton,3.2,"For animal course month. Whatever let hear wrong organization.
Assume fight surface international girl cell I. Difficult administration moment picture open present society.",True
PROD_00007,Extended client-server flexibility,Electronics,Laptops,,39.21,80.96,41.75,9.73,26x40x39,93,"House, Petersen and Wright",4.5,"Hospital although look miss. Tonight lawyer somebody mention trouble improve. Relate history black trial respond weight reveal.
Parent certainly sign. Watch responsibility major list.",True
PROD_00008,Synergistic upward-trending Internet solution,Fashion,Watches,"wilson, li and duran",337.22,975.21,637.99,3.86,10x7x11,87,"Gomez, Brennan and Griffin",3.1,"His page beyond perhaps billion part. Agency position drive wait.
Threat face voice another above performance mother teacher. Miss director read.",True
PROD_00009,Assimilated 4thgeneration workforce,Books,Fiction,Wiggins LLC,359.23,833.36,474.13,2.66,41x47x16,56,Ross Inc,4.5,Mrs nothing Mr position. Message direction work method difference job. Third scene suddenly hear southern.,True
PROD_00010,Re-engineered 3rdgeneration forecast,Fashion,Accessories,Brown LLC,113.95,309.42,195.47,9.73,49x21x18,0,"Roberts, Garcia and Spencer",4.4,Water discover arm shoulder relate up. Any hospital mention. Quite stop Congress though state the different.,False
PROD_00011,Decentralized impactful structure,Home & Kitchen,Furniture,Beasley PLC,452.33,1154.48,702.15,3.52,45x20x12,40,"Christian, Gordon and Palmer",4.0,"Car huge current win early former.
Idea surface behind site finish truth. Central pretty fly quality one. Watch sort with down surface newspaper many.",True
PROD_00012,Inverse non-volatile help-desk,Sports,Fitness Equipment,Hodge Ltd,475.38,1340.56,865.18,356.0,23x15x18,79,Coleman Group,4.9,Face establish number head yet treatment. Ok power trouble whether stand child serve. Traditional exist including leader heart himself.,True
PROD_00013,Re-contextualized dedicated knowledge user,Fashion,Watches,"dickson, morales and palmer",160.63,435.13,274.5,1.09,12x44x29,56,Rush-Fernandez,3.6,"Quickly sport page visit south. Prepare pretty school college care wife. Move cup true never today dream bad.
Capital economic something pattern total. Writer part teacher wind money.",True
PROD_00014,Visionary user-facing function,Books,Non-Fiction,James-Patterson,224.1,499.94,275.84,5.93,37x44x6,89,Lopez-Moreno,4.9,"Plan few high table. Difference a pass country wife push. Toward figure remember.
Become college fine include Congress might. Grow detail animal they. Loss yard tend fight last laugh.",True
PROD_00015,Right-sized analyzing synergy,Beauty,Fragrances,Jones-Fox,121.85,339.31,217.46,767.0,27x38x20,33,"Noble, Kennedy and Taylor",3.7,"Green doctor any determine lose natural commercial public. Hold senior candidate stage.
Body section contain film. Rich near these deep form. Prepare fact film pick oil he difficult.",True
PROD_00016,Cross-platform eco-centric forecast,Fashion,Accessories,Roberts-Golden,498.43,1090.89,592.46,5.36,16x33x16,37,Michael-Koch,3.4,People after develop suffer how role enter. Order hope oil law performance student as. Art response least issue.,True
PROD_00017,Ameliorated scalable Internet solution,Sports,Outdoor Gear,Washington-Page,106.86,303.63,196.77,8.59,14x9x16,31,Carter PLC,3.8,"Lay sing spring add. Truth seem interview stuff pretty also. Professional buy decide fall up college.
Anyone street easy stuff magazine professional. Threat soldier third father trial.",True
PROD_00018,De-engineered even-keeled capability,Beauty,Makeup,Fisher-Huffman,374.33,719.35,345.02,5.42,34x30x10,24,Walton Group,3.3,Strategy per method operation fund several forget girl. Stay difficult station conference central local money.,True
PROD_00019,Switchable web-enabled function,Books,Educational,Lee-Clark,429.67,1101.83,672.16,4.79,48x8x20,110,"Martinez, Caldwell and Newton",3.7,"Under particular process exactly according. Rest green glass realize type.
Enjoy front argue something. Despite send ahead care source about public kid.",True
PROD_00020,Customer-focused uniform toolset,Home & Kitchen,Furniture,"Lopez, Smith and Boyd",11.86,14.75,2.89,6.85,28x14x25,69,Martin and Sons,4.2,Ever according rise hour individual message. Kind position drop artist.,True
PROD_00021,Automated system-worthy paradigm,Sports,Outdoor Gear,,357.92,911.8,553.88,4.29,20x41x13,35,Lozano-Gardner,3.4,"Run stage meet gun center thank north improve.
Threat year fight of contain eye could.
Draw perform none security. Group one wrong have compare strategy.",True
PROD_00022,Multi-lateral logistical core,Fashion,Watches,Winters-Salinas,137.76,411.52,273.76,2.93,21x22x29,35,Edwards-Hudson,3.0,"Establish scientist his operation. Management receive authority describe bar dinner.
Front area we focus several task. Seek response pattern back ok she admit. Beat quickly discuss there begin.",True
PROD_00023,Future-proofed asynchronous moderator,Sports,Team Sports,Spence-French,118.95,202.29,83.34,4.72,8x47x40,63,Hernandez-Hill,4.3,Stuff here PM serve write another mind. National third piece himself realize thank. Door feel onto their gun.,True
PROD_00024,Exclusive foreground hub,Beauty,Makeup,Odom Inc,254.09,513.38,259.29,3.78,11x20x21,12,Foster Group,4.4,"Network bit here business. That too nothing race.
Tend plan floor whether read. Who offer strategy central forget beautiful interesting. Structure nothing vote sport program.",False
PROD_00025,Managed next generation capacity,Electronics,Cameras,Lee-Mcdaniel,34.5,100.87,66.37,0.49,29x10x43,35,Harris Group,3.1,"Act light allow. Real figure feel citizen.
School body test and. Sense sign them deal tough any which security.",True
PROD_00026,Cloned mission-critical Graphic Interface,Beauty,Hair Care,"Owens, White and Lewis",434.82,1261.04,826.22,1.95,48x26x20,50,"Camacho, Simpson and Nielsen",4.4,Determine lawyer dog tax late sit. Who traditional center save air money. Guess report between west.,True
PROD_00027,Reverse-engineered incremental migration,Fashion,Clothing,anderson-gilmore,483.34,1445.61,962.27,-1.0,43x28x15,122,Goodman-Grant,4.1,"Hold hotel camera fight out sound consider card. Likely teacher significant recognize according local modern.
Often debate smile space. Once information deep check.",True
PROD_00028,Multi-layered local moderator,Electronics,Smartphones,"Wilson, Fitzgerald and Archer",425.29,800.78,375.49,9.37,19x32x22,46,Sawyer and Sons,4.6,Throughout energy election important marriage. Over buy voice factor per. Across manage center report each guess close build.,True
PROD_00029,Re-engineered well-modulated website,SPORTS,Team Sports,Burnett PLC,344.91,730.36,385.45,8.27,42x49x20,17,"Jenkins, Rodriguez and Johnson",3.9,Identify senior claim appear forget voice much must. Better develop whether business. Black if show majority unit several.,True
PROD_00030,Cross-platform fresh-thinking open system,Electronics,Laptops,Crane Group,60.34,140.64,80.3,0.12,48x9x27,73,Kim Group,4.7,"Include provide fire check. Section lose move bill hard six. Son mention certainly political stop animal.
Allow travel show compare. Answer together west occur bit our then.",True
PROD_00031,Diverse user-facing firmware,Sports,Fitness Equipment,Bradley LLC,157.26,394.65,237.39,0.69,36x43x18,116,Ritter LLC,4.7,Pressure religious word I relationship wish gas. Herself from medical should game stand rather. Turn year suggest quite someone.,True
PROD_00032,Down-sized actuating project,Books,Fiction,Torres-Padilla,61.41,182.91,121.5,4.12,21x23x30,32,Brown Group,4.5,Television budget kitchen. Them have fact behind condition seven. Audience Democrat us seek research might. Be make ahead cost song.,True
