log_id,customer_id,session_id,timestamp,action,page,product_id,duration_seconds,ip_address,user_agent
1,CUST_03155,SESS_5503,2025-09-25 05:53:02.845051,purchase,home,PROD_00152,1,27.24.238.163,Opera/8.21.(Windows NT 5.01; mr-IN) Presto/2.9.182 Version/11.00
2,CUST_04140,SESS_7835,2025-09-13 08:09:34.772499,add_to_cart,home,PROD_00466,39,59.186.121.147,Mozilla/5.0 (Windows NT 6.2; mg-MG; rv:1.9.2.20) Gecko/6898-09-05 17:00:33.090698 Firefox/3.6.18
3,CUST_01745,SESS_8988,2025-08-17 22:37:25.820631,login,cart,,30,82.225.31.149,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.0)
4,CUST_02010,SESS_8568,2025-09-17 12:08:11.416725,remove_from_cart,category,,1,130.129.173.101,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/16.1k1904.0 Mobile/14R575 Safari/534.1"
5,CUST_04698,SESS_3091,2025-10-11 14:14:41.188341,product_view,account,PROD_00829,35,98.186.25.40,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/38.0.872.0 Safari/535.1"
6,CUST_01957,SESS_4521,2025-10-17 07:59:55.027008,remove_from_cart,home,,2,187.115.214.222,Mozilla/5.0 (Android 4.2.2; Mobile; rv:27.0) Gecko/27.0 Firefox/27.0
7,CUST_00594,SESS_2159,2025-11-03 23:08:48.672801,logout,checkout,PROD_00623,10,211.177.90.49,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1; rv:1.9.3.20) Gecko/9838-02-19 13:07:04.994537 Firefox/3.8
8,CUST_04197,SESS_9198,2025-09-26 09:09:54.294381,add_to_cart,product_detail,,1,223.154.240.55,Opera/9.82.(X11; Linux x86_64; nn-NO) Presto/2.9.167 Version/10.00
9,CUST_01370,SESS_8319,2025-10-18 07:24:05.839039,page_view,product_detail,,26,151.135.19.174,Mozilla/5.0 (Android 4.4.4; Mobile; rv:41.0) Gecko/41.0 Firefox/41.0
10,CUST_03138,SESS_3085,2025-11-06 13:25:01.324844,purchase,product_detail,PROD_00690,20,133.84.123.155,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1)
11,CUST_03603,SESS_4470,2025-08-22 21:20:18.655951,page_view,product_detail,,10,185.62.251.70,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2 rv:5.0; ts-ZA) AppleWebKit/535.21.2 (KHTML, like Gecko) Version/5.1 Safari/535.21.2"
12,CUST_03536,SESS_7153,2025-10-31 09:43:09.265319,login,cart,PROD_00759,56,150.74.228.198,Opera/8.20.(X11; Linux x86_64; cmn-TW) Presto/2.9.163 Version/11.00
13,CUST_00128,SESS_5447,2025-10-18 20:27:17.193405,search,checkout,PROD_00196,10,66.40.188.205,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_6; rv:1.9.2.20) Gecko/2225-04-05 08:51:22.455795 Firefox/3.8
14,CUST_03203,SESS_3477,2025-09-24 06:58:24.715528,purchase,category,,43,172.144.132.91,Opera/9.53.(X11; Linux x86_64; om-ET) Presto/2.9.165 Version/12.00
15,CUST_03915,SESS_2262,2025-09-06 15:45:44.756006,purchase,category,,1,47.28.236.245,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
16,CUST_00200,SESS_5352,2025-08-26 15:54:50.455053,search,home,,14,25.132.70.188,Opera/8.34.(X11; Linux x86_64; yo-NG) Presto/2.9.168 Version/11.00
